ESTU_GENERO,EDAD,ESTU_COMOCAPACITOEXAMENSB11,FAMI_EDUCACIONPADRE,FAMI_EDUCACIONMADRE,FAMI_ESTRATOVIVIENDA,FAMI_TIENECONSOLAVIDEOJUEGOS,MOD_RAZONA_CUANTITATIVO_PNAL,MOD_LECTURA_CRITICA_PNAL,MOD_COMPETEN_CIUDADA_PNAL,MOD_INGLES_PNAL,MOD_COMUNI_ESCRITA_PNAL,PUNT_GLOBAL,GRUPO
1,24,2,2,2,2,0,15,17,24,63,51.0,133,0
1,22,1,5,5,2,0,77,73,69,81,89.0,175,1
0,25,1,10,4,3,0,16,18,24,3,60.0,123,0
1,21,1,3,8,3,0,96,74,98,73,44.0,178,1
0,30,2,2,2,2,0,45,65,56,69,29.0,153,2
0,21,2,2,4,3,1,22,55,81,63,81.0,159,2
1,37,1,0,4,3,0,88,88,89,69,46.0,174,1
0,20,2,5,0,3,0,86,82,88,52,6.0,160,1
0,19,2,7,3,3,0,63,93,61,86,25.0,167,1
1,23,1,4,10,1,0,21,33,28,49,1.0,124,0
0,42,1,1,1,3,1,54,27,35,61,54.0,145,2
0,22,1,11,4,3,0,52,49,47,25,16.0,140,2
0,27,1,5,1,2,0,47,18,51,32,45.0,139,2
0,20,1,8,8,2,0,66,86,55,47,80.0,165,1
0,23,1,4,5,2,0,53,47,57,16,59.0,145,2
0,24,2,8,4,4,0,73,93,85,91,44.0,176,1
0,23,1,0,10,2,0,94,97,90,72,98.0,194,1
0,21,1,8,5,4,1,20,37,31,66,16.0,136,0
0,20,2,5,7,2,0,37,34,53,60,3.0,136,2
0,30,2,2,0,3,0,3,5,9,3,15.0,102,0
0,25,1,2,2,2,0,33,67,54,13,72.0,148,2
0,21,1,0,0,3,0,87,80,74,70,51.0,168,1
1,21,1,0,4,1,0,58,65,71,21,14.0,145,2
0,20,1,2,2,2,0,86,97,99,79,95.0,195,1
0,25,0,2,4,2,0,24,55,39,20,60.0,139,2
0,53,1,2,0,3,0,46,22,37,57,57.0,143,2
1,21,2,0,4,2,0,61,54,48,51,49.0,151,2
0,23,1,2,0,3,0,46,19,64,72,43.0,148,2
0,24,1,7,10,3,0,8,22,43,41,27.0,130,0
0,44,1,2,2,5,1,75,89,91,68,79.0,177,1
1,24,1,5,8,3,1,42,39,39,43,46.0,142,2
0,22,1,7,8,2,0,67,96,47,88,46.0,169,1
0,26,1,5,4,2,0,85,74,90,80,84.0,180,1
1,33,2,2,2,3,0,31,29,28,28,50.0,134,0
0,22,1,4,0,1,0,49,44,70,36,2.0,137,2
0,28,1,0,8,3,1,43,41,50,26,33.0,140,2
0,21,1,4,2,2,0,89,74,67,79,35.0,168,1
1,48,1,2,2,3,0,17,37,30,32,32.0,132,0
0,22,2,2,4,2,0,51,20,27,55,61.0,142,2
0,24,1,1,4,2,0,77,50,42,76,57.0,158,2
0,19,2,11,4,3,0,34,67,92,87,56.0,165,1
0,22,2,1,1,1,0,56,62,61,24,88.0,158,2
1,21,1,4,4,2,0,99,91,94,82,70.0,191,1
0,28,2,2,0,3,0,13,7,70,39,57.0,134,2
0,21,2,5,5,1,0,94,89,72,75,18.0,170,1
1,23,2,3,3,6,1,73,90,83,98,82.0,186,1
1,19,2,8,4,2,0,32,58,33,74,25.0,146,2
1,29,0,1,0,1,0,80,17,14,6,16.0,127,0
0,19,1,11,7,1,0,75,67,77,69,66.0,167,1
0,21,2,1,2,1,0,18,65,52,96,100.0,173,1
1,27,1,4,5,2,0,90,82,86,46,82.0,175,1
1,22,2,4,4,3,0,79,63,56,71,50.0,161,1
1,29,1,4,4,3,0,2,6,13,3,1.0,82,0
0,42,1,4,5,4,0,81,83,98,58,87.0,181,1
1,24,1,3,5,4,0,96,44,89,64,25.0,166,1
1,26,1,5,0,2,0,50,21,46,52,17.0,139,2
0,24,1,5,4,3,0,45,56,14,25,64.0,140,2
0,23,2,1,2,2,0,54,54,53,2,81.0,146,2
0,22,1,4,4,3,0,77,93,83,73,74.0,177,1
0,20,1,5,1,1,0,51,90,84,81,86.0,176,1
0,24,0,4,0,3,0,76,80,57,87,30.0,166,1
1,21,0,4,5,4,0,1,1,1,16,51.0,96,0
0,22,0,3,5,2,0,64,70,40,86,22.0,158,2
1,22,1,3,3,4,1,98,100,100,84,100.0,228,1
0,19,0,8,4,5,0,40,80,72,57,100.0,190,1
0,23,1,2,2,2,0,81,23,22,52,46.0,144,2
0,19,1,3,10,2,0,25,37,24,49,86.0,145,2
1,36,1,4,5,1,0,24,33,19,23,26.0,128,0
1,20,1,4,0,3,1,89,79,91,87,80.0,184,1
0,23,1,4,2,1,0,15,52,76,28,28.0,141,2
1,23,0,4,8,1,0,83,67,93,76,91.0,181,1
0,29,1,0,4,2,0,53,80,44,23,44.0,148,2
1,21,1,4,8,2,0,41,34,5,7,26.0,122,0
0,32,1,2,4,2,1,32,19,15,72,6.0,127,0
1,19,0,0,1,3,1,41,13,50,79,1.0,118,0
0,21,2,5,0,3,0,68,53,86,25,39.0,153,2
0,20,0,4,5,3,0,64,96,82,73,92.0,181,1
1,21,1,3,3,4,1,88,98,94,99,100.0,223,1
1,32,1,11,5,2,1,35,84,28,44,42.0,146,2
0,25,1,4,7,1,0,10,11,3,11,8.0,103,0
0,20,1,5,5,3,0,62,59,38,85,10.0,150,2
1,21,1,3,5,6,0,93,86,77,64,88.0,180,1
0,23,2,7,7,2,0,64,92,100,92,30.0,196,1
1,24,1,1,1,1,0,95,74,94,28,20.0,165,2
1,25,1,2,8,4,1,66,66,37,28,37.0,147,2
0,20,1,8,8,4,1,83,85,77,88,86.0,182,1
1,21,1,4,4,2,0,21,22,43,36,43.0,134,0
1,25,1,8,5,5,1,57,74,21,45,2.0,136,2
0,21,0,8,8,3,0,63,89,89,67,31.0,166,1
1,22,1,5,4,4,1,53,63,5,97,93.0,162,2
0,24,2,11,8,3,0,10,37,60,64,54.0,142,2
0,32,1,2,0,3,0,86,63,59,58,17.0,157,2
0,26,1,2,2,2,0,69,54,6,1,58.0,111,0
0,19,1,4,0,3,1,67,13,49,64,28.0,145,2
1,21,0,0,11,1,1,80,47,32,46,16.0,145,2
0,23,1,4,4,3,0,82,34,51,34,51.0,149,2
0,23,1,4,4,3,0,58,32,64,52,41.0,148,2
0,22,1,5,10,3,0,42,18,25,33,29.0,132,0
1,22,2,2,4,3,0,74,28,42,71,66.0,155,2
1,29,1,1,1,1,0,55,36,70,33,10.0,140,2
0,23,1,2,1,2,0,62,60,38,4,20.0,137,2
0,33,0,8,3,3,1,36,43,26,46,3.0,130,0
1,23,1,5,8,4,1,25,17,63,16,12.0,128,0
0,21,2,3,3,4,0,29,33,41,72,57.0,145,2
1,33,2,3,5,4,1,76,53,57,87,55.0,163,1
1,32,1,5,0,3,1,92,79,79,70,25.0,169,1
0,25,1,2,2,2,0,40,79,84,80,33.0,162,1
0,20,0,3,8,3,0,29,89,77,86,16.0,159,1
0,24,1,2,2,1,0,31,7,3,12,43.0,115,0
0,31,2,7,7,3,0,60,45,71,68,67.0,160,2
1,43,0,4,4,2,0,11,18,17,10,10.0,114,0
1,23,1,4,4,2,0,88,78,71,69,46.0,168,1
0,23,1,4,4,3,0,23,48,59,61,6.0,138,2
1,25,2,8,2,2,1,44,80,74,84,55.0,164,1
1,31,2,4,10,3,0,51,41,60,45,21.0,145,2
0,22,1,5,5,2,0,43,37,53,56,98.0,160,2
1,26,1,4,10,4,0,63,6,41,11,97.0,145,2
1,24,1,4,0,3,0,86,93,76,42,24.0,165,1
1,20,0,0,4,2,0,9,5,4,12,34.0,109,0
0,37,1,8,5,3,0,32,13,47,33,67.0,139,2
0,26,1,4,0,3,0,54,14,22,47,53.0,137,2
1,21,2,5,4,2,0,14,66,49,52,44.0,144,2
1,24,1,7,3,4,0,25,26,41,24,55.0,134,0
0,19,2,2,5,1,0,7,3,1,55,35.0,109,0
1,24,1,3,8,6,1,53,52,61,58,21.0,150,2
1,21,1,10,5,3,0,57,34,44,21,80.0,148,2
1,35,1,2,2,3,1,64,90,81,17,62.0,160,2
1,25,2,4,0,1,0,14,8,10,9,62.0,118,0
0,24,2,2,2,1,0,3,26,18,48,8.0,118,0
1,21,1,1,3,2,1,9,3,11,15,1.0,86,0
0,20,1,0,7,3,0,15,56,37,18,23.0,133,0
0,22,1,4,4,2,0,45,12,18,22,23.0,127,0
0,23,1,5,3,3,0,56,35,45,46,1.0,119,0
0,23,0,5,4,2,0,20,34,61,19,61.0,139,2
0,25,0,2,4,1,0,29,11,20,33,1.0,115,0
0,20,1,5,5,3,1,94,100,95,89,79.0,196,1
1,27,0,5,5,3,1,56,30,51,82,25.0,150,2
0,25,1,0,4,3,1,88,63,73,84,96.0,181,1
1,22,1,2,5,2,0,53,15,12,43,16.0,129,0
1,25,1,4,3,4,0,3,27,28,58,18.0,126,0
0,23,0,3,3,2,0,98,77,90,90,81.0,189,1
0,21,0,10,8,2,0,43,18,53,31,53.0,139,2
0,20,0,8,8,4,0,65,92,89,76,37.0,171,1
1,24,0,7,7,4,0,80,63,74,87,34.0,166,1
0,27,1,4,2,2,0,18,24,50,32,3.0,124,0
1,35,1,2,2,1,0,50,21,21,24,57.0,134,0
1,44,2,8,0,2,0,80,70,74,84,42.0,168,1
1,22,1,8,0,3,0,25,5,27,13,9.0,116,0
0,20,1,7,8,4,0,74,73,75,28,55.0,158,2
1,22,1,11,6,6,0,42,67,54,77,64.0,159,2
1,24,2,6,5,1,0,24,38,31,94,95.0,160,2
0,21,0,1,4,2,0,32,31,34,46,77.0,145,2
0,31,1,6,1,1,0,33,15,43,23,1.0,106,0
0,20,0,4,4,1,0,24,18,23,36,21.0,128,0
0,23,1,1,2,2,0,39,76,82,42,85.0,163,2
0,23,1,3,5,3,0,6,7,4,7,3.0,99,0
0,23,1,3,8,4,0,84,86,68,77,20.0,167,1
0,25,2,11,2,2,0,55,55,36,49,67.0,152,2
0,31,1,7,4,2,0,63,83,75,87,52.0,169,1
1,23,1,1,0,3,0,86,63,77,93,1.0,145,1
0,24,2,5,8,2,1,20,10,32,15,52.0,126,0
1,22,2,2,4,2,1,89,66,76,73,82.0,174,1
0,24,1,8,5,3,1,56,65,70,80,82.0,168,1
0,23,2,5,5,3,0,1,18,11,38,1.0,91,0
0,28,1,2,2,2,0,12,34,25,5,7.0,116,0
1,20,1,5,4,2,0,98,87,97,88,91.0,197,1
1,30,2,10,7,4,0,24,23,40,59,9.0,131,0
0,22,0,4,5,3,0,2,73,69,99,73.0,162,1
1,20,0,4,0,1,0,67,57,19,36,91.0,154,2
