ESTU_GENERO,EDAD,ESTU_COMOCAPACITOEXAMENSB11,FAMI_EDUCACIONPADRE,FAMI_EDUCACIONMADRE,FAMI_ESTRATOVIVIENDA,FAMI_TIENECONSOLAVIDEOJUEGOS,MOD_RAZONA_CUANTITATIVO_PNAL,MOD_LECTURA_CRITICA_PNAL,MOD_COMPETEN_CIUDADA_PNAL,MOD_INGLES_PNAL,MOD_COMUNI_ESCRITA_PNAL,PUNT_GLOBAL,GRUPO
0,23,1,2,2,3,0,31,43,55,22,14.0,134,0
0,26,1,4,2,3,0,25,52,50,46,30.0,142,2
1,22,0,5,8,2,1,62,85,98,82,1.0,147,1
0,55,2,2,1,2,0,16,18,29,32,7.0,121,0
1,21,0,1,0,2,0,3,3,1,18,1.0,75,0
0,21,2,3,3,6,0,21,86,48,85,83.0,164,1
1,24,1,0,1,2,0,77,57,66,67,93.0,170,1
0,24,1,2,1,1,0,46,12,29,9,4.0,119,0
1,35,1,0,2,2,0,67,49,79,37,27.0,152,2
1,19,0,4,4,2,0,9,5,13,32,75.0,125,0
0,21,1,4,4,2,0,70,21,37,28,38.0,140,2
1,24,1,5,4,3,1,21,15,39,53,54.0,136,0
0,34,1,1,2,2,1,28,62,37,12,61.0,140,2
0,27,1,2,0,2,0,75,78,51,54,90.0,168,1
0,43,1,8,4,3,1,21,26,29,18,65.0,133,0
0,20,1,7,8,3,0,48,68,26,51,84.0,155,2
1,21,1,11,5,1,0,84,96,76,58,78.0,177,1
0,20,1,0,3,2,0,84,61,20,84,78.0,164,1
0,23,2,4,4,4,0,83,63,39,80,69.0,166,1
0,21,2,2,4,3,0,87,88,78,99,91.0,191,1
0,29,1,6,2,2,0,27,56,34,62,9.0,137,2
1,26,2,3,8,2,0,97,63,22,30,49.0,153,2
0,39,1,2,2,1,0,74,43,100,90,1.0,163,1
0,24,0,4,4,3,0,28,25,22,19,80.0,136,0
1,26,1,8,8,6,1,50,61,48,42,36.0,147,2
1,28,1,2,1,3,0,52,57,62,36,9.0,142,2
0,35,1,5,5,2,0,22,39,9,20,44.0,126,0
0,26,0,2,2,2,0,19,9,41,16,17.0,123,0
1,22,1,0,0,4,1,69,81,71,88,17.0,165,1
1,22,1,11,11,0,0,1,17,5,55,67.0,122,0
1,40,1,2,0,4,1,83,68,71,38,75.0,164,2
1,21,1,6,8,3,0,1,2,2,51,34.0,105,0
0,24,2,1,4,2,0,28,79,18,18,89.0,147,2
1,25,1,5,5,4,0,82,82,99,95,94.0,194,1
0,21,1,2,8,2,0,5,16,12,4,81.0,121,0
1,34,1,2,2,2,0,40,20,4,7,41.0,120,0
1,22,1,8,8,2,0,82,94,71,62,71.0,174,1
0,27,1,2,2,1,0,35,22,7,22,82.0,133,0
0,21,1,2,5,1,0,56,64,81,86,18.0,161,1
0,30,1,8,4,2,0,66,96,98,44,90.0,181,1
0,22,1,4,8,3,1,69,66,83,87,76.0,174,1
0,20,1,4,4,2,0,56,15,10,12,40.0,126,0
0,39,1,2,1,2,0,8,20,37,12,29.0,123,0
0,32,2,0,1,2,1,39,65,82,39,85.0,161,2
0,21,1,4,5,2,1,56,63,36,60,96.0,162,2
1,27,1,1,1,3,0,16,15,38,65,66.0,140,2
0,31,1,4,5,3,0,30,62,61,80,60.0,156,2
0,19,1,0,1,3,0,51,74,30,36,24.0,145,2
1,24,0,4,8,4,0,74,56,76,11,91.0,161,2
1,26,1,4,4,3,1,66,75,86,82,52.0,169,1
1,21,1,2,0,1,0,84,71,68,74,94.0,176,1
1,41,2,8,4,3,1,54,62,90,76,10.0,156,2
1,24,2,1,1,2,0,98,47,28,78,59.0,163,2
1,21,1,8,4,5,0,97,85,91,87,30.0,180,1
0,22,1,3,7,5,0,98,81,46,15,51.0,160,2
1,20,0,8,8,3,0,30,49,22,87,84.0,155,2
1,22,2,4,7,6,0,17,26,2,44,48.0,122,0
1,21,1,8,5,3,0,75,65,64,68,49.0,161,1
1,21,0,1,10,2,0,77,69,58,66,32.0,159,2
1,33,1,8,4,1,0,24,71,62,57,56.0,151,2
0,21,1,8,2,3,0,14,8,25,3,3.0,107,0
0,20,0,5,5,2,0,57,53,73,95,93.0,175,1
1,20,0,4,8,2,0,100,100,83,96,55.0,195,1
0,21,2,8,3,2,1,100,100,100,99,100.0,223,1
0,21,1,8,4,5,1,81,74,66,92,10.0,163,1
0,27,1,2,2,2,0,44,49,62,47,98.0,161,2
1,21,1,1,5,2,1,98,68,46,65,65.0,170,1
1,22,2,3,3,5,0,100,68,75,90,40.0,179,1
1,38,1,2,2,3,0,10,4,4,11,12.0,103,0
1,30,1,2,2,1,0,20,12,14,24,93.0,134,0
0,20,1,4,0,3,1,24,26,38,41,55.0,137,0
1,21,1,4,4,2,1,83,87,71,75,52.0,170,1
1,23,2,4,4,2,1,75,48,55,94,88.0,173,1
0,24,1,5,0,2,0,44,46,23,36,30.0,138,0
1,21,1,5,4,2,0,71,66,12,75,55.0,152,2
1,45,1,8,4,4,1,15,79,78,36,31.0,147,2
1,30,1,0,4,3,0,16,8,8,23,6.0,110,0
0,21,0,2,0,1,0,38,39,5,51,39.0,132,0
0,27,1,1,2,1,0,5,3,2,11,4.0,95,0
0,39,1,4,4,2,0,37,32,46,24,39.0,137,0
1,21,2,4,5,2,0,97,67,96,97,96.0,197,1
1,28,1,1,0,3,0,4,22,5,19,92.0,125,0
0,21,0,8,8,2,0,50,93,78,44,77.0,167,1
0,22,1,3,3,6,1,94,91,77,95,90.0,191,1
1,41,1,2,4,2,0,33,87,78,31,66.0,158,2
1,21,2,4,4,3,0,88,31,3,1,90.0,118,2
1,24,1,8,0,2,1,94,80,72,84,84.0,182,1
0,26,1,10,4,1,0,15,8,3,18,1.0,87,0
0,23,0,4,8,2,0,56,40,61,78,15.0,150,2
0,20,1,5,5,2,0,41,22,24,18,44.0,131,0
0,21,1,4,5,3,1,85,68,72,85,15.0,164,1
0,20,1,1,5,1,0,62,29,26,34,30.0,138,2
0,20,1,3,8,3,1,53,15,78,88,65.0,159,2
0,22,2,3,3,5,0,84,93,96,93,78.0,190,1
0,42,1,6,2,2,0,71,30,16,69,2.0,134,2
0,28,1,4,4,2,0,49,59,51,76,99.0,169,1
1,25,1,8,8,6,1,38,18,19,68,46.0,137,0
0,34,1,1,2,1,0,7,18,8,32,28.0,118,0
1,25,1,8,4,1,0,32,41,26,56,32.0,139,2
1,27,1,8,8,3,1,57,38,2,5,36.0,123,0
0,25,2,0,4,1,0,99,39,75,42,60.0,165,2
0,22,1,11,0,1,0,41,58,28,30,66.0,145,2
0,21,1,0,4,4,0,20,6,4,67,10.0,116,0
1,20,0,10,10,3,1,28,68,99,72,100.0,196,1
0,21,1,1,7,2,0,84,56,90,54,81.0,171,1
1,21,1,3,8,6,1,76,69,75,96,2.0,160,1
0,21,1,10,4,2,1,22,40,50,21,27.0,135,0
0,22,1,2,2,2,0,60,87,69,36,32.0,156,2
0,33,1,2,4,1,0,46,55,19,44,78.0,148,2
0,23,1,2,2,1,0,76,71,65,10,77.0,158,2
0,25,1,7,7,2,1,1,11,2,34,8.0,101,0
0,22,1,5,10,2,0,72,97,76,95,92.0,188,1
0,23,2,0,5,3,0,71,97,75,45,31.0,164,1
1,25,1,9,8,3,0,70,23,28,47,35.0,142,2
1,21,1,4,8,4,1,97,71,62,85,75.0,179,1
1,20,1,8,8,4,0,85,59,72,89,83.0,176,1
1,34,1,6,2,2,0,62,32,86,20,89.0,157,2
0,19,0,3,3,2,0,68,75,65,87,55.0,166,1
1,21,1,2,2,2,0,44,57,26,30,1.0,114,0
1,33,1,1,1,2,1,61,63,53,47,77.0,158,2
1,24,0,3,7,3,0,34,45,42,49,14.0,137,2
0,30,1,0,1,3,0,73,20,65,26,71.0,150,2
0,19,1,0,1,2,0,37,41,35,40,39.0,140,2
0,24,1,0,2,2,0,8,1,26,34,12.0,112,0
0,28,1,0,5,3,0,3,13,29,20,23.0,119,0
0,21,1,5,5,1,0,31,13,22,26,43.0,128,0
0,29,1,1,1,1,0,18,22,18,5,37.0,121,0
0,22,1,4,3,4,0,23,49,23,62,27.0,139,0
0,28,1,4,4,6,0,20,12,3,66,36.0,124,0
0,26,1,8,5,3,0,19,86,54,69,67.0,157,2
1,19,1,5,5,3,0,97,82,86,93,13.0,176,1
0,22,0,4,8,3,0,88,86,82,74,84.0,181,1
1,21,1,2,2,3,0,5,53,12,13,63.0,126,0
0,26,0,0,0,3,0,64,22,27,13,82.0,142,2
1,23,1,0,4,6,0,12,4,3,73,13.0,114,0
1,24,1,2,0,2,0,61,46,64,20,75.0,153,2
0,22,2,3,5,6,0,84,95,96,99,80.0,195,1
1,22,1,8,3,6,0,67,78,88,94,53.0,174,1
0,22,1,0,5,2,0,57,27,25,32,58.0,139,2
1,29,1,1,0,3,0,21,19,23,27,30.0,127,0
0,20,1,4,8,2,1,69,10,38,58,26.0,141,2
1,22,1,7,3,4,0,90,93,77,96,90.0,191,1
0,23,1,5,1,1,0,68,56,49,42,57.0,152,2
0,21,1,3,8,2,0,63,72,59,63,70.0,163,1
0,19,1,8,3,3,0,68,72,96,100,43.0,193,1
0,23,1,2,2,1,0,19,6,16,3,1.0,89,0
1,21,2,10,10,5,1,98,80,68,60,86.0,179,1
0,18,0,1,1,1,0,48,16,21,30,20.0,130,0
1,21,1,7,5,3,1,30,14,59,72,43.0,143,2
0,59,1,2,2,3,0,6,8,13,40,1.0,93,0
0,21,2,4,4,3,0,77,71,76,38,80.0,166,1
0,21,1,4,5,2,0,27,54,25,27,52.0,137,0
1,33,1,10,1,2,0,17,22,38,18,4.0,120,0
1,23,1,4,5,2,0,99,85,41,64,70.0,175,1
0,20,0,10,3,4,1,99,91,93,97,55.0,191,1
1,23,1,10,3,3,0,92,85,92,64,33.0,173,1
0,35,1,4,2,2,0,8,18,12,12,1.0,91,0
0,21,1,8,4,3,0,87,92,93,81,78.0,185,1
0,21,1,10,8,2,1,50,24,44,37,27.0,139,2
0,24,1,0,2,2,0,41,62,39,87,69.0,160,2
1,23,2,7,10,2,0,39,45,11,26,54.0,133,0
1,25,0,4,8,1,0,44,4,3,1,37.0,109,0
0,23,1,4,4,2,0,6,9,4,14,13.0,105,0
0,31,2,1,4,2,0,93,97,97,38,68.0,181,1
0,20,1,8,8,5,1,73,94,69,95,73.0,181,1
0,27,1,8,7,2,0,80,91,76,25,84.0,170,1
1,23,2,4,5,4,1,84,31,43,57,90.0,161,2
0,37,1,2,1,1,0,39,60,81,32,1.0,123,2
1,24,0,1,0,2,0,17,16,26,7,7.0,116,0
1,23,2,4,3,2,0,93,95,97,94,1.0,175,1
0,20,1,4,0,2,0,20,27,57,49,75.0,146,2
0,21,0,8,8,4,0,33,25,24,75,27.0,139,0
1,30,1,5,5,1,0,22,29,43,48,42.0,138,0
0,42,1,8,6,2,0,27,24,3,5,37.0,116,0
1,20,1,4,4,2,0,90,56,78,65,37.0,164,1
1,20,1,2,1,2,0,87,84,91,57,98.0,184,1
1,20,0,8,4,3,0,64,79,54,82,39.0,162,1
1,41,1,5,2,2,0,56,57,49,16,13.0,139,2
1,20,1,11,8,3,0,99,100,92,84,1.0,164,1
0,21,1,4,5,2,0,64,86,51,66,87.0,169,1
1,49,1,2,4,3,1,60,40,81,22,11.0,141,2
0,23,1,1,8,3,0,14,73,57,96,50.0,158,2
0,20,2,0,4,2,1,78,92,93,79,32.0,175,1
1,20,1,5,4,3,0,94,72,82,74,100.0,187,1
0,34,1,2,2,3,0,51,33,48,33,59.0,144,2
1,22,1,8,5,4,1,16,70,21,81,32.0,145,2
1,22,1,7,4,1,0,69,90,36,47,21.0,154,2
1,25,2,8,4,2,0,96,64,70,70,16.0,165,1
0,29,1,4,5,1,0,99,63,72,73,59.0,173,1
1,28,1,2,4,1,0,72,65,33,25,26.0,146,2
0,19,1,3,3,1,0,96,93,96,94,40.0,188,1
1,22,1,8,4,3,0,82,86,69,50,39.0,163,1
0,25,1,8,5,3,0,11,25,12,28,62.0,127,0
1,19,2,10,10,1,0,79,44,29,28,90.0,155,2
1,27,1,2,2,2,1,40,25,45,33,1.0,112,0
0,25,1,4,5,1,0,59,57,60,20,46.0,147,2
0,21,1,4,5,3,1,89,95,90,78,97.0,191,1
0,23,2,1,4,2,0,40,47,16,13,15.0,127,0
0,44,2,7,0,4,1,4,7,17,49,43.0,121,0
0,37,1,2,2,3,0,32,22,38,24,2.0,123,0
0,21,2,8,3,4,0,89,77,69,88,28.0,171,1
0,30,2,1,1,1,0,40,64,75,84,30.0,159,2
0,20,2,4,4,3,0,79,50,50,73,68.0,163,2
0,20,1,4,1,3,0,48,35,35,43,21.0,139,2
1,29,1,4,9,3,0,30,13,32,34,35.0,131,0
0,24,1,4,4,2,0,14,9,7,12,59.0,116,0
0,21,1,0,5,1,0,11,1,1,19,2.0,94,0
0,21,2,2,10,3,0,5,61,53,75,22.0,143,2
0,22,2,8,8,6,1,91,98,99,100,84.0,217,1
1,24,1,4,0,3,1,51,74,33,30,21.0,144,2
0,21,0,3,8,3,0,82,65,80,72,63.0,169,1
1,21,1,8,3,4,1,79,49,68,80,85.0,170,1
0,24,2,11,4,2,0,39,44,47,39,50.0,143,2
1,23,2,0,0,2,0,72,79,62,60,85.0,169,1
0,20,1,5,7,3,0,96,100,99,95,93.0,206,1
1,26,1,4,4,3,0,66,63,71,72,98.0,174,1
1,22,1,8,8,5,1,38,46,60,89,39.0,155,2
0,23,1,2,8,3,0,64,23,50,53,23.0,144,2
1,23,1,2,4,3,0,56,84,90,48,82.0,170,1
0,22,2,3,3,5,1,74,71,3,100,1.0,145,2
0,34,1,4,4,2,0,29,28,30,22,41.0,132,0
1,20,0,3,8,4,1,62,46,56,71,97.0,167,1
1,39,1,1,2,2,1,90,86,100,62,97.0,207,1
0,22,2,2,4,1,0,47,44,61,57,28.0,148,2
1,24,0,5,10,3,0,90,63,94,98,85.0,188,1
1,21,1,2,1,1,0,5,4,7,17,17.0,107,0
1,22,1,4,5,2,0,77,88,61,84,92.0,179,1
1,23,2,4,7,3,0,33,30,38,51,5.0,131,0
0,20,1,8,8,2,0,1,70,7,20,46.0,121,0
1,23,0,3,8,4,0,95,82,75,91,100.0,211,1
0,25,0,1,1,2,0,7,17,20,15,1.0,94,0
1,23,2,4,1,3,0,38,79,52,14,1.0,118,0
1,22,1,8,4,3,0,53,11,25,77,45.0,142,2
0,22,2,3,5,4,0,97,82,99,97,99.0,223,1
1,22,0,8,3,4,0,96,96,97,93,75.0,196,1
0,20,1,4,8,2,0,46,80,95,75,92.0,177,1
0,25,0,2,2,1,0,3,15,5,11,1.0,99,0
1,24,1,8,3,4,0,67,75,98,71,61.0,172,1
0,20,1,7,5,2,1,93,93,74,89,49.0,179,1
1,26,1,4,5,2,0,22,41,52,7,1.0,107,0
0,22,1,8,5,4,0,40,62,89,84,77.0,169,1
0,20,2,8,3,5,0,59,57,22,23,35.0,140,2
1,21,1,7,5,3,0,49,85,94,77,96.0,180,1
0,19,2,2,4,1,0,28,20,3,18,83.0,127,0
1,21,1,0,4,2,0,100,91,89,93,48.0,191,1
1,22,2,8,3,3,1,81,68,82,82,89.0,178,1
0,27,1,5,4,3,0,11,1,3,22,9.0,98,0
0,37,1,2,0,2,0,14,8,25,5,53.0,120,0
1,23,2,4,4,3,1,99,81,91,75,23.0,177,1
0,23,2,0,1,2,0,1,22,14,34,9.0,110,0
1,25,1,5,1,2,0,41,12,44,37,75.0,143,2
0,21,2,4,8,5,0,93,100,96,95,75.0,198,1
0,23,1,2,2,2,1,56,90,89,73,75.0,174,1
0,19,2,0,0,3,0,94,88,58,70,18.0,167,1
0,21,0,2,5,1,0,64,29,45,8,68.0,143,2
0,21,1,8,4,2,0,48,29,28,30,31.0,136,0
0,21,1,11,8,3,0,80,84,45,48,26.0,157,2
1,23,1,7,5,3,0,88,21,12,38,60.0,142,2
0,19,1,4,5,2,0,36,43,52,67,87.0,157,2
1,19,1,4,4,3,0,96,89,97,87,44.0,185,1
0,22,1,5,8,2,1,96,87,89,92,92.0,193,1
1,49,1,2,6,3,1,48,24,24,18,12.0,127,0
1,22,2,3,8,6,1,60,100,100,99,84.0,215,1
0,28,1,8,0,1,0,38,69,69,75,84.0,165,1
0,18,0,4,4,2,0,22,30,35,11,45.0,130,0
1,36,1,2,0,2,0,27,50,37,7,75.0,140,2
1,23,1,5,10,3,1,8,35,56,11,14.0,125,0
0,23,1,4,3,1,0,21,61,29,28,61.0,139,2
1,23,2,7,4,3,0,90,25,33,64,34.0,151,2
1,22,1,4,5,3,0,42,15,18,19,55.0,130,0
1,26,1,1,0,2,0,77,41,74,29,22.0,150,2
1,26,1,0,0,3,0,5,43,24,33,70.0,134,0
1,40,2,0,10,2,1,69,34,70,58,60.0,155,2
1,22,1,3,3,3,1,46,66,83,66,67.0,163,1
1,26,2,8,7,4,1,1,3,9,20,23.0,106,0
0,22,2,4,0,1,0,93,78,91,41,23.0,166,1
0,23,0,4,4,2,0,69,51,75,38,57.0,154,2
1,24,2,10,1,2,0,41,20,45,51,24.0,139,2
0,22,1,5,5,1,0,46,59,60,48,43.0,150,2
0,20,2,4,5,2,0,52,57,39,68,49.0,151,2
1,33,1,0,1,2,1,58,45,31,68,97.0,161,2
1,21,1,0,4,1,0,61,44,49,40,49.0,148,2
1,21,1,5,4,2,1,62,87,68,26,47.0,156,2
0,23,1,4,8,3,1,23,24,11,19,18.0,122,0
0,21,1,1,5,2,0,24,27,6,78,66.0,138,0
0,20,1,4,5,2,0,87,78,74,86,83.0,179,1
1,23,1,8,8,4,1,82,36,58,81,96.0,171,1
1,47,1,5,4,3,0,2,2,3,39,18.0,103,0
0,20,0,8,5,2,0,25,14,7,24,12.0,115,0
0,32,1,2,2,1,0,8,15,20,4,54.0,118,0
0,30,2,2,4,2,0,56,38,24,5,31.0,132,0
0,20,1,0,5,3,1,42,42,46,71,34.0,148,2
0,26,1,0,0,2,0,26,19,22,39,39.0,131,0
1,21,1,4,2,1,0,46,31,54,51,16.0,140,2
0,23,0,5,8,2,1,23,9,10,28,5.0,113,0
1,22,0,4,5,2,1,77,35,34,58,7.0,141,2
0,20,1,4,4,2,0,16,3,3,41,15.0,110,0
1,38,1,1,1,2,0,56,38,72,51,57.0,152,2
1,38,1,2,10,2,1,32,29,12,12,17.0,122,0
1,19,1,7,8,3,1,86,84,61,77,71.0,174,1
1,23,0,8,8,6,0,66,89,83,99,88.0,187,1
1,24,1,0,0,2,0,15,9,18,6,77.0,125,0
0,22,2,2,2,3,0,36,56,31,47,90.0,153,2
0,21,2,10,4,3,0,40,75,82,80,96.0,174,1
0,21,2,0,0,2,0,95,92,84,75,31.0,176,1
0,32,1,2,2,2,0,9,5,6,15,55.0,113,0
0,23,2,4,4,2,0,80,100,82,94,81.0,191,1
1,26,1,4,4,3,0,31,43,64,6,1.0,111,0
1,23,1,2,2,1,0,98,54,86,53,83.0,176,1
1,21,2,5,5,3,1,63,65,83,86,18.0,163,1
0,24,1,7,7,3,0,61,59,56,64,61.0,157,2
0,23,1,1,5,2,0,78,81,65,62,55.0,164,1
1,29,1,4,4,4,0,3,3,7,19,10.0,102,0
0,22,2,8,8,6,0,36,86,49,98,16.0,161,1
0,23,0,2,0,2,0,29,10,23,11,1.0,112,0
0,22,0,4,4,1,0,1,1,2,22,1.0,72,0
1,39,1,1,1,2,0,64,67,52,67,2.0,146,2
0,20,1,4,0,2,0,47,45,25,30,19.0,136,0
0,22,1,3,4,3,0,32,74,68,59,19.0,151,2
1,23,1,0,4,2,0,65,74,52,50,61.0,157,2
1,31,1,2,0,3,1,63,64,72,71,45.0,160,1
1,26,1,4,4,2,0,39,3,10,38,6.0,115,0
0,21,1,7,8,3,0,68,38,92,77,12.0,156,2
1,22,1,8,0,3,0,48,69,42,54,19.0,148,2
1,30,2,2,0,2,0,95,36,72,63,87.0,171,1
0,23,1,2,4,1,1,77,52,36,45,44.0,150,2
0,22,2,4,2,2,0,39,86,86,50,50.0,160,2
0,21,0,8,8,6,0,30,33,39,91,69.0,154,2
1,24,1,4,4,4,1,81,86,93,84,47.0,176,1
0,21,0,3,3,6,0,5,37,50,95,78.0,153,2
1,20,1,4,3,3,0,91,68,65,57,22.0,161,2
1,22,1,4,0,2,0,93,64,75,81,66.0,175,1
0,31,1,1,1,4,1,14,5,2,7,20.0,105,0
0,21,1,11,4,2,0,60,59,71,62,62.0,159,2
0,23,1,4,4,1,0,18,32,13,8,39.0,123,0
1,22,2,0,4,3,0,99,92,97,98,36.0,193,1
0,20,2,5,5,4,1,97,98,97,100,68.0,216,1
0,29,2,1,4,2,1,1,2,6,3,7.0,92,0
1,24,1,0,0,1,0,35,24,26,10,79.0,136,0
0,33,0,10,5,3,1,38,73,61,76,89.0,166,1
0,23,0,8,4,1,0,64,62,12,81,93.0,161,2
0,20,2,8,10,4,0,92,97,96,89,76.0,193,1
0,24,1,4,4,1,0,48,7,35,20,15.0,126,0
1,25,1,4,10,2,0,25,22,31,5,24.0,125,0
1,20,2,4,4,3,0,86,63,68,80,28.0,165,1
0,51,1,0,2,3,0,44,29,11,26,11.0,124,0
1,24,1,4,4,2,0,99,88,92,99,65.0,195,1
1,23,1,5,8,4,0,80,99,100,98,79.0,200,1
0,21,0,0,5,2,0,91,72,86,74,35.0,171,1
0,31,1,8,7,2,0,1,10,1,27,1.0,78,0
0,36,1,6,2,1,0,2,30,29,6,21.0,118,0
0,38,1,2,2,2,0,34,32,32,7,65.0,135,0
0,28,1,11,8,3,0,23,19,29,39,20.0,130,0
1,20,1,8,3,4,1,85,86,94,72,73.0,180,1
0,23,2,11,8,1,0,30,66,33,27,53.0,141,2
0,26,1,2,2,1,0,38,48,39,19,2.0,128,0
0,26,2,0,2,2,0,58,16,30,42,19.0,136,0
0,21,1,8,5,2,0,86,97,100,65,98.0,195,1
0,19,0,7,8,1,0,86,97,83,99,81.0,193,1
0,22,2,8,3,5,1,83,78,58,94,75.0,178,1
1,19,1,7,4,3,0,93,87,88,79,73.0,183,1
1,20,1,11,5,3,1,95,62,70,78,63.0,172,1
0,54,1,2,2,2,0,11,11,8,25,4.0,109,0
0,20,1,10,5,4,0,68,49,47,96,47.0,163,1
0,22,1,2,4,2,1,32,10,20,21,67.0,131,0
1,31,1,0,1,4,1,78,87,62,14,35.0,155,2
0,21,1,8,8,5,1,97,64,48,71,97.0,178,1
1,21,2,8,7,5,0,75,100,98,100,68.0,212,1
1,20,1,4,8,4,1,89,69,81,77,59.0,171,1
1,21,0,3,3,4,1,93,95,94,93,84.0,194,1
1,22,1,8,8,3,1,97,85,90,94,56.0,185,1
1,36,1,8,5,3,1,91,67,47,34,14.0,151,2
1,22,1,0,4,2,0,82,66,65,80,87.0,174,1
1,20,1,0,0,1,0,47,38,46,33,40.0,142,2
0,21,1,4,0,3,0,48,22,30,37,41.0,137,0
0,23,1,9,5,3,0,90,95,96,93,100.0,219,1
0,20,1,5,4,2,0,31,87,84,73,43.0,162,1
0,40,2,2,2,2,0,20,52,21,28,1.0,107,0
0,24,0,2,0,3,0,1,7,39,26,3.0,109,0
0,23,1,5,0,2,0,59,80,74,80,77.0,172,1
1,20,1,7,8,4,1,83,44,85,88,85.0,176,1
0,20,0,5,5,2,1,49,61,82,64,83.0,165,1
0,21,1,8,3,3,0,68,46,45,53,73.0,156,2
0,22,1,2,1,1,0,73,63,77,47,98.0,172,1
1,23,1,8,4,2,0,76,36,22,15,6.0,130,0
0,34,1,2,1,2,0,33,13,82,34,33.0,140,2
0,25,1,0,4,2,0,21,45,54,14,36.0,136,0
0,19,0,4,5,3,0,96,86,99,99,91.0,203,1
0,20,2,6,0,2,0,36,50,39,57,98.0,158,2
0,22,1,1,4,3,0,10,36,40,15,71.0,135,0
0,27,2,8,4,2,1,5,2,4,11,1.0,94,0
0,31,1,6,6,1,0,52,16,32,37,1.0,110,0
0,20,1,3,3,4,0,88,91,97,90,100.0,199,1
1,21,1,0,4,4,0,53,32,26,69,51.0,145,2
0,24,1,7,5,3,1,39,55,60,77,34.0,153,2
0,27,1,4,10,3,0,18,61,58,68,1.0,122,2
1,24,2,2,2,3,0,58,27,79,36,59.0,149,2
0,38,1,0,2,2,0,26,33,33,25,16.0,130,0
1,20,1,1,1,2,0,97,57,46,48,49.0,160,2
0,24,1,4,1,1,0,35,80,87,8,58.0,151,2
1,20,1,0,3,2,0,90,63,85,88,30.0,171,1
0,28,2,0,4,2,0,82,71,77,50,23.0,160,2
0,21,1,10,10,2,0,33,30,15,44,81.0,141,2
1,24,2,0,2,2,0,85,58,32,47,19.0,150,2
0,23,1,11,0,2,0,7,86,72,12,71.0,147,2
1,35,1,11,2,2,0,82,88,82,70,71.0,176,1
0,47,1,2,10,3,0,35,22,39,6,35.0,130,0
0,24,0,2,0,1,0,15,10,43,26,23.0,126,0
0,26,2,8,8,4,0,4,9,1,29,1.0,81,0
1,22,1,4,4,3,1,56,48,52,42,29.0,146,2
0,26,2,4,1,2,0,32,6,17,23,18.0,122,0
0,22,1,5,4,3,0,25,90,68,54,16.0,151,2
0,30,1,1,1,3,0,14,18,4,6,2.0,103,0
0,36,1,0,4,3,0,20,69,63,9,13.0,134,0
0,24,2,4,8,6,1,65,14,47,93,31.0,153,2
0,23,1,8,5,2,0,91,82,98,100,61.0,205,1
0,19,1,4,7,2,0,58,57,16,37,36.0,140,2
0,23,1,5,4,3,0,14,21,12,42,4.0,117,0
1,27,1,1,3,4,1,64,94,56,83,62.0,170,1
0,19,0,7,4,4,0,70,96,100,81,52.0,181,1
1,30,1,4,1,2,0,68,38,43,28,68.0,149,2
0,29,1,1,1,1,0,19,18,19,7,86.0,131,0
1,33,1,1,1,1,0,26,31,19,2,6.0,115,0
0,20,1,2,4,1,0,71,25,10,15,12.0,126,0
0,21,1,8,8,2,0,26,75,42,12,3.0,130,0
1,22,1,4,4,1,0,18,12,8,1,17.0,107,0
0,23,1,0,2,2,0,87,72,93,37,25.0,163,2
0,20,2,4,2,3,1,21,37,9,72,25.0,133,0
0,25,2,4,4,2,0,39,41,56,7,54.0,139,2
0,26,1,4,4,2,0,47,49,32,36,7.0,134,0
1,22,1,11,11,1,0,30,58,98,58,66.0,163,2
1,41,1,4,4,3,1,3,25,25,49,43.0,127,0
0,20,1,7,5,3,0,74,98,93,90,100.0,215,1
0,28,1,1,1,2,0,22,42,28,45,37.0,136,0
0,21,1,8,5,4,0,63,88,64,78,42.0,165,1
0,41,0,2,2,2,0,51,37,27,11,20.0,133,0
1,25,1,5,7,3,0,71,83,69,71,44.0,164,1
1,22,1,2,2,2,0,36,4,31,33,20.0,126,0
0,21,1,3,3,3,1,66,100,98,99,81.0,197,1
0,26,1,8,1,2,0,68,59,92,39,39.0,158,2
1,29,1,2,0,1,0,65,61,97,44,51.0,162,2
1,23,2,2,10,2,0,25,5,8,17,1.0,91,0
0,22,2,2,2,3,0,59,58,53,49,49.0,152,2
0,20,1,5,5,2,0,59,23,14,30,71.0,139,2
1,21,0,4,5,3,1,14,18,21,27,1.0,99,0
1,20,2,4,5,4,0,71,79,85,77,98.0,181,1
0,21,1,7,7,4,1,80,34,51,87,58.0,160,2
1,54,1,1,1,3,0,10,22,34,10,85.0,133,0
0,24,1,2,2,1,0,47,33,66,76,87.0,161,2
1,20,1,1,1,2,0,52,40,91,39,46.0,153,2
0,21,1,2,5,1,0,88,83,70,79,11.0,164,1
0,29,1,6,6,1,0,3,61,36,5,65.0,131,0
0,20,1,4,5,2,1,100,98,100,94,26.0,213,1
1,26,2,2,0,2,0,70,62,71,67,41.0,159,2
0,50,1,2,1,3,1,28,70,76,57,1.0,126,2
0,33,2,2,2,3,0,49,23,35,27,24.0,135,0
1,23,1,4,4,3,0,86,84,87,73,1.0,160,1
1,22,1,4,0,2,0,69,39,33,13,11.0,134,0
