MOD_RAZONA_CUANTITATIVO_PNAL,MOD_LECTURA_CRITICA_PNAL,MOD_COMPETEN_CIUDADA_PNAL,MOD_INGLES_PNAL,MOD_COMUNI_ESCRITA_PNAL,PUNT_GLOBAL,id_unico
90,24,66,23,30.0,148,63184
80,79,70,77,90.0,177,231408
52,58,27,29,71.0,147,140047
30,12,32,56,71.0,141,83830
34,33,30,39,73.0,143,80313
10,16,23,6,11.0,114,135840
10,12,12,9,1.0,90,215926
91,87,83,63,59.0,173,92455
47,24,21,34,48.0,135,233542
52,33,18,53,43.0,139,118581
26,42,25,6,35.0,129,195960
62,32,28,33,73.0,146,204432
65,62,71,20,2.0,140,198623
3,12,5,12,72.0,116,112944
20,28,48,72,100.0,176,199252
97,98,82,97,75.0,195,182838
15,40,26,48,30.0,134,78280
34,15,35,30,3.0,123,212091
18,12,15,6,1.0,92,191460
40,90,78,92,88.0,177,176579
77,60,54,62,39.0,157,214856
23,85,97,95,39.0,170,179170
33,35,17,56,62.0,140,20174
5,32,17,22,58.0,124,54284
1,1,1,26,14.0,92,88557
57,13,37,6,27.0,130,231636
48,33,43,26,23.0,138,87655
7,7,38,72,87.0,141,6129
3,18,13,6,1.0,88,204375
79,66,80,38,42.0,159,139676
15,11,3,37,2.0,107,203524
1,1,1,1,1.0,0,114698
5,5,21,34,6.0,111,71086
19,84,54,69,49.0,152,54586
19,44,23,29,46.0,132,226420
4,25,3,32,75.0,122,228063
55,72,71,84,53.0,164,165471
97,50,43,90,99.0,182,15012
83,74,68,59,33.0,162,241011
21,9,2,68,4.0,113,27882
83,90,81,88,19.0,173,129921
57,23,60,41,55.0,146,106830
35,65,90,73,1.0,133,160967
14,77,60,76,13.0,146,163282
4,5,4,21,82.0,117,139181
51,82,63,81,55.0,163,54826
87,82,65,58,93.0,175,196659
59,7,46,6,43.0,131,61843
13,3,23,6,46.0,115,76263
31,35,54,66,47.0,146,89206
90,72,93,44,30.0,166,187491
95,82,68,99,76.0,188,225289
57,54,40,27,30.0,143,196849
2,10,14,22,9.0,108,36080
98,95,86,67,45.0,180,183565
88,58,37,72,33.0,158,52764
25,53,44,48,82.0,150,178353
18,54,40,29,26.0,136,5301
61,19,28,38,48.0,139,209566
83,90,97,89,69.0,186,186108
79,37,42,59,56.0,153,214844
67,46,10,82,80.0,155,146067
44,63,53,24,27.0,143,197930
20,6,26,48,76.0,135,145312
12,23,47,47,48.0,135,192156
84,56,81,63,31.0,162,146677
57,70,93,59,15.0,158,139725
96,63,78,93,82.0,183,101598
20,20,20,27,51.0,128,229729
31,39,53,88,83.0,160,176432
53,70,60,50,87.0,162,11202
42,72,89,84,98.0,178,213003
53,37,69,63,21.0,150,243831
26,2,17,28,56.0,121,38211
56,32,55,28,10.0,136,193140
51,62,80,6,6.0,138,192917
76,81,86,78,47.0,170,35348
40,80,64,2,28.0,142,200938
55,56,72,66,98.0,170,167451
36,10,1,7,23.0,111,226122
82,97,61,69,76.0,177,178043
45,61,69,16,21.0,144,971
65,40,48,76,73.0,160,32783
24,11,8,50,21.0,123,84337
4,82,43,37,89.0,149,164911
80,78,62,3,54.0,151,99536
52,47,79,15,82.0,154,96351
62,66,21,69,47.0,151,175478
35,16,25,29,13.0,125,222620
56,90,89,84,7.0,163,56217
37,52,77,55,48.0,152,97029
60,69,73,82,86.0,172,32616
4,39,2,21,40.0,116,16218
27,15,23,80,8.0,131,81670
80,50,58,78,19.0,158,14931
78,93,74,64,21.0,166,90681
98,82,64,92,91.0,188,192603
85,22,59,72,13.0,150,47791
43,62,92,65,16.0,155,56804
82,100,87,97,81.0,195,225511
22,29,18,11,12.0,120,244692
64,36,57,87,27.0,156,190103
48,44,70,15,52.0,144,82053
84,49,78,80,87.0,174,96611
78,93,85,67,74.0,177,88192
42,24,12,44,27.0,131,106222
18,39,18,10,5.0,118,174574
85,58,43,72,62.0,162,195680
1,30,37,21,40.0,123,240097
3,8,4,35,64.0,116,228615
77,99,90,89,92.0,192,189472
28,1,20,3,46.0,114,12251
35,19,33,10,52.0,131,117225
56,26,21,68,69.0,148,23384
88,69,67,29,1.0,131,60615
75,87,57,33,91.0,168,128848
9,1,1,2,4.0,89,40313
82,83,77,86,38.0,171,217919
97,96,97,71,92.0,194,126701
95,89,98,86,31.0,184,27878
43,12,18,1,46.0,119,180715
84,80,49,86,96.0,179,215107
69,68,50,22,47.0,150,15250
45,79,83,66,74.0,166,246116
90,93,91,83,89.0,189,187936
27,49,51,62,16.0,142,203315
4,1,1,15,59.0,102,177815
22,5,48,46,86.0,140,114772
15,19,27,26,1.0,101,87441
29,25,59,52,78.0,148,207945
19,18,37,44,92.0,144,93655
83,63,43,78,92.0,171,163717
76,76,63,94,66.0,174,173564
92,99,98,96,1.0,166,161845
85,73,45,93,46.0,168,85449
15,31,20,41,39.0,130,90208
30,24,40,46,72.0,144,90169
98,65,48,90,89.0,182,114411
2,11,17,12,61.0,117,234685
98,79,95,73,72.0,185,11085
34,28,41,61,79.0,149,215606
26,47,58,12,85.0,146,103668
57,85,69,33,50.0,156,64271
32,81,46,65,95.0,163,94437
55,19,33,12,60.0,135,110924
86,96,100,86,21.0,184,44367
71,88,21,48,32.0,152,94639
42,57,34,60,63.0,150,79616
37,44,37,32,23.0,138,158231
64,51,40,37,22.0,145,140838
47,17,30,9,1.0,119,148794
20,58,24,25,49.0,135,149977
58,92,84,84,95.0,182,231772
78,26,20,34,46.0,141,66344
92,96,89,58,66.0,180,64691
89,74,53,6,8.0,144,45308
50,96,96,97,99.0,194,152647
80,58,79,37,51.0,158,201552
66,63,22,41,59.0,148,164557
8,3,11,27,84.0,123,89045
92,71,82,88,18.0,171,14581
49,13,48,61,5.0,134,107828
9,32,36,53,42.0,134,240019
76,17,72,35,93.0,158,73049
70,52,63,68,37.0,157,189465
89,90,92,96,72.0,189,106062
87,53,82,17,93.0,166,49704
21,24,24,25,11.0,122,126698
49,25,54,14,1.0,111,218005
21,27,17,23,4.0,119,944
25,31,76,71,1.0,122,38250
22,41,40,14,53.0,134,181427
34,72,38,88,17.0,152,82675
93,91,74,78,59.0,176,103621
16,40,54,5,39.0,131,195876
83,95,97,51,54.0,175,159327
16,11,27,70,80.0,140,203006
2,22,10,15,39.0,115,143046
95,98,88,99,98.0,204,78587
93,98,82,98,73.0,193,4173
21,57,55,43,58.0,145,180467
71,64,52,85,96.0,174,210091
68,82,69,91,14.0,164,11567
37,98,86,100,52.0,180,95362
22,20,40,38,33.0,133,97010
64,83,91,66,31.0,166,134031
19,26,27,4,49.0,125,187239
30,56,58,73,63.0,154,212138
39,23,9,29,18.0,125,91117
22,40,48,58,92.0,153,229717
100,99,93,89,68.0,197,194666
52,36,46,36,68.0,148,84688
70,78,70,69,22.0,161,90263
43,43,68,29,97.0,158,113914
71,21,17,20,2.0,124,225884
14,18,16,14,15.0,117,162244
70,43,54,27,88.0,156,67072
78,90,98,68,98.0,208,135390
34,67,86,6,43.0,146,13419
86,92,91,79,95.0,188,122211
62,65,61,18,79.0,156,81837
49,66,23,78,86.0,160,212829
13,57,75,65,96.0,160,2109
7,17,20,5,1.0,107,95556
77,72,78,94,85.0,180,21319
4,2,2,74,33.0,112,53422
13,38,53,67,68.0,147,129175
16,10,15,10,1.0,92,33940
20,12,15,12,41.0,121,229251
25,11,28,31,67.0,134,156110
86,21,26,13,81.0,146,108740
49,62,61,29,74.0,154,104085
84,44,40,49,22.0,150,90022
10,20,28,49,14.0,125,40172
87,98,100,97,88.0,203,52017
17,44,92,29,67.0,150,27944
82,50,45,89,6.0,154,176661
38,39,73,74,2.0,142,1059
80,32,18,30,12.0,135,244011
44,78,78,78,46.0,162,156976
14,9,12,49,67.0,128,40148
66,28,15,1,16.0,105,142755
43,51,50,95,19.0,155,147632
16,22,14,28,71.0,131,145049
78,75,61,40,91.0,167,55645
24,51,25,16,31.0,132,163552
58,21,2,34,80.0,133,34054
68,21,35,72,44.0,148,189242
53,90,97,63,87.0,178,166116
82,30,53,57,87.0,161,232393
57,20,27,32,18.0,134,212694
54,27,1,12,30.0,120,205741
30,4,11,3,1.0,88,88325
55,68,34,60,42.0,151,61555
63,22,64,32,88.0,154,208695
7,7,1,63,7.0,108,183999
93,52,53,84,71.0,171,34956
84,63,57,48,61.0,159,244427
7,36,4,39,76.0,128,54107
25,24,20,76,32.0,137,78929
16,47,79,84,65.0,157,166597
54,37,57,41,28.0,145,92093
89,88,96,78,88.0,187,108690
69,36,27,70,28.0,147,70034
84,73,90,60,94.0,178,75784
60,59,53,7,91.0,153,96447
79,41,29,58,28.0,148,149075
62,87,75,69,64.0,168,203435
46,35,39,4,52.0,134,16746
41,67,92,44,26.0,155,27346
92,39,61,80,50.0,163,40303
60,62,52,44,67.0,156,156024
26,38,36,29,86.0,145,26631
17,47,41,13,15.0,128,129784
67,63,72,21,79.0,159,113192
77,97,90,77,46.0,176,229505
81,51,15,63,25.0,147,213145
87,98,97,80,45.0,183,120916
66,55,19,49,59.0,147,100082
12,17,74,94,10.0,142,44028
60,55,64,15,26.0,145,4010
84,80,96,71,76.0,180,147301
49,59,63,52,38.0,151,134322
39,38,14,4,28.0,126,241312
87,48,72,86,35.0,166,107692
36,15,67,31,16.0,134,183105
35,34,41,53,84.0,150,50645
52,53,34,2,1.0,109,211132
97,80,79,89,42.0,178,201675
26,79,86,72,47.0,160,211238
75,99,52,92,90.0,185,211217
1,13,9,12,38.0,110,134505
15,29,36,20,43.0,130,164645
5,15,12,8,5.0,107,238820
99,100,94,99,100.0,218,86793
27,57,58,42,13.0,139,232689
45,54,40,22,33.0,141,14672
2,14,11,22,65.0,118,128839
24,47,28,49,58.0,140,245155
52,59,79,65,22.0,155,211336
84,34,30,25,58.0,145,181372
64,50,86,51,56.0,158,23720
77,71,45,71,79.0,167,87901
87,54,82,71,68.0,170,123944
93,83,89,74,52.0,176,57370
54,53,65,69,83.0,163,233162
47,83,82,96,70.0,176,118534
72,48,86,71,74.0,168,236066
34,16,27,8,44.0,127,5902
64,96,86,89,17.0,172,228733
3,10,34,40,7.0,116,16960
52,37,52,24,1.0,116,152544
22,37,32,8,17.0,126,228604
69,61,28,23,57.0,146,209154
50,47,85,73,89.0,167,115715
6,28,4,16,56.0,117,127891
81,70,92,52,66.0,170,149182
21,9,23,55,1.0,103,69160
60,16,4,81,2.0,127,212045
88,39,52,71,79.0,165,16752
5,14,15,32,91.0,130,177818
22,29,24,37,41.0,132,245795
88,78,50,27,50.0,157,230477
55,59,33,73,78.0,158,46371
31,71,36,70,60.0,152,16974
57,66,49,15,51.0,146,209947
16,48,49,56,88.0,151,45998
42,63,75,83,41.0,159,9092
68,73,83,49,18.0,157,115657
27,18,27,15,38.0,128,242855
58,93,76,93,93.0,182,158466
10,63,62,9,90.0,146,176541
72,89,85,31,55.0,163,6907
63,57,83,63,79.0,166,246034
66,75,44,77,74.0,165,77496
16,3,18,5,57.0,116,82055
70,94,82,65,77.0,175,86019
73,88,64,92,58.0,172,27925
73,75,61,66,66.0,166,139625
50,13,33,36,22.0,134,89912
66,57,47,53,90.0,162,110262
36,20,11,14,36.0,125,135213
88,66,80,92,54.0,174,138364
31,24,20,19,56.0,130,212847
5,20,40,45,1.0,118,185889
69,91,97,93,87.0,189,157928
27,73,57,74,68.0,158,138743
43,82,77,17,61.0,153,159780
46,45,75,71,80.0,162,180769
17,38,26,78,9.0,134,13442
84,89,100,94,13.0,180,81577
80,67,86,36,67.0,165,115696
65,30,25,68,65.0,150,180408
67,95,81,71,57.0,171,129974
31,37,4,69,88.0,142,8864
43,67,63,66,67.0,159,8931
24,16,47,56,26.0,136,140683
36,91,85,90,85.0,177,162322
2,44,10,13,1.0,93,159287
61,40,49,58,51.0,150,143467
67,71,90,65,75.0,170,51810
40,40,63,42,40.0,145,233220
25,11,12,7,3.0,109,209892
93,58,80,39,45.0,162,35794
60,67,79,84,74.0,171,78289
5,46,68,3,52.0,130,34313
8,5,16,8,40.0,114,144244
57,77,81,85,37.0,166,89562
9,39,30,4,92.0,135,111881
58,37,63,4,95.0,151,38377
21,18,36,20,67.0,134,84452
75,75,72,96,71.0,177,115856
47,54,28,16,21.0,136,129854
95,100,99,100,100.0,234,144723
46,55,42,16,31.0,140,49593
82,63,76,81,64.0,170,118335
27,85,50,95,32.0,160,31149
11,95,68,58,19.0,151,14941
31,41,29,12,1.0,106,143409
54,45,49,25,13.0,138,207713
86,56,91,67,73.0,173,183385
29,32,25,30,12.0,128,31533
54,95,95,83,69.0,179,99960
29,77,65,15,96.0,157,61362
5,1,3,10,53.0,103,67190
48,71,80,55,7.0,149,102870
78,69,53,46,16.0,152,131481
99,100,71,93,44.0,190,33004
32,9,9,17,24.0,119,128378
26,38,36,81,11.0,139,114854
45,59,47,51,97.0,161,51437
95,100,97,98,1.0,170,145236
33,38,41,87,68.0,155,149897
96,86,95,62,58.0,179,243792
70,40,67,12,28.0,144,129462
57,65,36,88,32.0,157,111118
32,65,32,52,96.0,156,150111
25,23,45,5,47.0,130,3820
97,91,89,100,77.0,211,140090
22,88,60,86,76.0,165,243078
21,13,10,3,45.0,117,41139
83,86,87,87,81.0,183,157973
100,87,76,68,33.0,178,113388
11,1,8,9,2.0,98,244258
4,4,2,26,9.0,100,160373
86,49,30,14,87.0,154,41220
82,57,62,23,1.0,126,84053
96,94,91,90,75.0,191,199597
15,2,19,7,13.0,109,81698
85,35,42,33,48.0,149,46974
59,31,32,50,66.0,148,131178
98,86,80,72,65.0,180,49608
37,40,58,15,46.0,140,192576
86,34,92,59,78.0,169,74144
35,13,14,55,35.0,131,120066
100,63,97,95,73.0,193,126417
40,56,39,29,5.0,133,96111
80,100,98,78,89.0,194,34109
5,2,3,5,4.0,93,67986
20,4,14,30,95.0,132,245052
61,15,55,53,89.0,154,138210
1,18,8,58,7.0,111,145032
84,34,40,58,46.0,152,229118
37,43,69,86,76.0,162,65656
22,28,16,26,40.0,128,242032
70,57,2,9,75.0,137,31752
84,70,52,33,55.0,156,215208
33,36,20,31,81.0,141,161738
40,34,11,39,39.0,132,152774
47,25,22,54,61.0,141,134545
24,44,36,58,93.0,152,151740
20,47,17,29,55.0,132,92949
35,54,20,11,96.0,145,239123
52,83,43,41,44.0,152,81963
65,76,37,55,69.0,159,82010
1,3,21,11,8.0,102,193294
42,57,22,27,16.0,134,129593
60,99,61,85,73.0,178,19232
52,28,74,15,72.0,148,46724
54,81,62,37,39.0,153,171737
61,89,75,72,85.0,174,131473
31,34,25,71,42.0,141,116594
7,2,19,11,2.0,102,108456
32,25,18,3,20.0,122,143408
63,18,65,32,1.0,117,9663
3,44,58,17,36.0,130,45492
24,11,13,34,35.0,124,163106
10,6,8,17,4.0,105,227156
50,67,51,27,89.0,156,230918
88,96,98,83,79.0,190,115588
77,70,82,98,95.0,186,178354
39,54,53,47,40.0,147,143689
43,60,87,69,52.0,159,212894
87,88,48,75,29.0,166,26467
72,60,82,97,75.0,177,169264
84,86,83,99,78.0,188,2102
72,56,59,56,71.0,161,39559
61,73,61,84,86.0,171,10116
16,7,7,24,35.0,116,130079
72,46,48,22,11.0,139,115181
59,50,53,83,55.0,158,161229
38,21,30,16,14.0,126,83172
43,47,32,23,76.0,145,206152
92,85,92,85,92.0,189,181111
29,90,79,74,85.0,169,242503
100,93,53,72,27.0,190,185185
32,38,34,29,1.0,110,219524
64,63,75,76,77.0,168,109303
62,96,88,91,89.0,186,127270
93,47,59,29,45.0,155,226180
94,82,93,89,55.0,182,172290
8,1,1,9,51.0,101,208758
20,15,18,6,8.0,114,66764
100,100,94,99,78.0,207,112468
67,55,80,33,3.0,144,130236
72,60,46,82,57.0,161,228654
9,38,41,52,88.0,146,55934
82,71,81,83,88.0,179,182723
74,98,85,91,5.0,171,205874
80,52,52,44,20.0,151,95594
77,76,65,86,80.0,174,71106
84,51,69,76,25.0,161,26659
60,57,88,23,50.0,153,224615
4,6,16,65,1.0,96,236134
96,96,93,98,69.0,196,122930
96,71,79,89,100.0,210,236350
53,35,39,79,22.0,148,131863
26,2,11,11,21.0,114,72907
60,75,55,64,37.0,157,135028
52,78,54,24,42.0,149,201115
57,50,40,49,30.0,146,202953
91,51,83,69,80.0,173,127986
37,20,11,16,25.0,124,84537
76,63,86,66,28.0,162,207699
26,55,32,26,17.0,134,99598
10,6,32,71,43.0,131,9085
90,60,14,74,44.0,155,179922
48,37,71,3,83.0,146,198409
11,16,24,44,9.0,121,172750
100,80,87,91,52.0,185,193315
74,57,42,47,78.0,159,102779
72,14,46,88,61.0,155,155086
41,61,45,84,34.0,154,6870
55,51,28,93,5.0,147,78279
93,76,92,54,63.0,173,51452
48,43,65,37,38.0,146,38556
82,73,73,80,66.0,172,185980
10,17,32,60,27.0,131,229784
60,90,70,51,75.0,167,85581
26,9,7,51,14.0,119,110278
31,5,23,30,6.0,118,206778
52,39,16,20,87.0,143,227825
45,22,71,7,38.0,137,189308
64,88,68,37,47.0,158,57844
66,65,76,52,9.0,150,89699
76,76,57,60,11.0,153,183856
35,54,42,82,44.0,151,163812
96,70,91,80,76.0,183,231727
50,73,39,9,40.0,143,180959
67,48,65,57,73.0,160,80351
56,71,45,86,71.0,165,56034
73,34,43,41,13.0,141,246429
65,66,54,65,61.0,159,173349
50,54,51,69,62.0,155,201377
4,52,43,40,88.0,144,26940
48,91,60,41,36.0,155,35487
54,68,55,54,29.0,152,56855
59,49,49,38,48.0,147,243351
74,11,36,15,63.0,139,133878
20,12,24,55,28.0,130,189968
18,17,13,20,27.0,121,191904
28,86,88,98,29.0,169,102017
38,46,49,38,1.0,117,20590
34,62,71,59,16.0,148,93205
98,72,64,70,56.0,171,113979
16,20,23,40,75.0,135,151918
26,28,40,72,61.0,145,191969
23,15,59,20,50.0,133,24717
71,94,48,94,86.0,180,8642
90,82,47,88,1.0,144,233354
56,12,31,27,31.0,134,26770
69,59,41,39,18.0,146,93070
3,3,1,21,1.0,76,89740
29,27,24,62,71.0,143,156048
97,99,94,79,81.0,194,71583
54,10,5,73,37.0,132,200459
92,84,35,9,30.0,152,190998
95,97,99,82,99.0,203,191925
46,58,31,12,48.0,139,208965
58,6,7,39,12.0,121,58016
37,19,60,55,51.0,144,166047
6,1,23,1,73.0,111,198126
28,30,8,17,39.0,124,130828
14,12,3,34,8.0,109,39557
49,29,42,19,19.0,135,234725
91,94,64,53,42.0,168,80778
38,33,27,14,25.0,131,195840
52,19,52,62,68.0,150,31270
16,66,45,93,84.0,161,220683
83,84,73,54,32.0,164,17282
17,31,17,16,1.0,99,192570
75,89,96,97,42.0,182,8965
55,35,34,6,82.0,143,5922
42,54,33,51,71.0,150,193698
29,39,38,15,14.0,129,144720
46,38,37,48,9.0,136,107602
69,86,79,59,38.0,164,237798
77,56,73,17,17.0,149,151561
34,67,54,63,73.0,157,75360
63,20,17,62,3.0,130,3237
75,76,84,48,34.0,161,2704
9,13,1,33,5.0,103,103823
78,67,90,68,49.0,167,72436
73,56,52,65,36.0,155,165324
23,67,65,63,15.0,146,149643
51,32,82,65,74.0,159,155480
76,82,85,94,18.0,172,33609
32,32,8,24,47.0,128,65510
85,86,96,85,51.0,179,40423
100,97,94,98,90.0,220,179289
97,47,44,86,43.0,166,171176
43,92,90,76,48.0,168,89295
100,96,99,76,87.0,200,203379
68,78,30,65,40.0,155,126796
34,49,72,64,83.0,159,77360
2,14,12,1,17.0,102,177529
31,27,13,21,34.0,127,236763
29,76,65,96,75.0,169,78007
23,31,58,69,26.0,143,227074
39,27,59,38,58.0,143,146694
1,14,9,35,14.0,110,212325
98,74,80,90,69.0,184,208971
92,65,54,29,59.0,158,26223
12,1,16,90,78.0,134,58102
21,43,46,6,31.0,131,241485
49,33,30,44,29.0,139,214189
54,34,7,11,1.0,101,138878
100,88,89,94,88.0,198,125069
76,79,71,69,82.0,172,188638
90,72,70,28,70.0,165,54498
32,42,28,18,25.0,133,17870
12,31,13,3,33.0,118,193888
62,45,67,79,30.0,156,73802
71,45,20,16,21.0,137,53103
64,71,89,44,38.0,159,111446
52,17,16,5,72.0,132,196213
15,1,9,5,2.0,99,244459
16,18,55,27,14.0,127,189326
11,5,5,31,11.0,108,175857
60,51,58,43,19.0,147,25029
3,8,4,39,1.0,86,147726
20,50,82,93,40.0,157,86470
67,75,83,55,75.0,168,59122
8,46,48,41,29.0,135,177356
72,52,47,77,60.0,159,130274
94,95,83,69,80.0,183,209196
9,34,13,5,22.0,118,59359
2,1,1,9,3.0,86,188822
46,69,18,55,72.0,150,133237
76,38,52,64,57.0,155,200098
18,40,6,53,38.0,129,142399
48,56,54,17,17.0,140,191882
31,34,41,3,43.0,131,72050
89,91,98,47,62.0,177,57396
59,79,85,66,82.0,171,7498
76,64,53,49,80.0,163,156637
43,20,39,39,67.0,143,201547
21,68,31,93,87.0,161,134549
55,65,82,36,77.0,161,232334
6,15,42,33,6.0,119,25388
82,97,97,51,66.0,180,128582
99,100,97,96,79.0,206,28729
94,93,70,85,71.0,183,136105
56,50,73,60,31.0,153,154967
71,58,58,80,61.0,162,165592
43,42,33,17,7.0,129,209285
36,40,13,26,78.0,139,43340
81,98,80,71,69.0,179,129931
84,53,41,58,76.0,161,113047
52,97,90,69,37.0,170,40985
96,92,92,58,76.0,183,48176
10,1,3,21,1.0,95,228027
41,8,8,14,1.0,95,163763
65,90,82,55,81.0,172,118132
33,45,46,13,25.0,135,129799
6,6,28,28,2.0,110,23318
50,87,88,72,84.0,174,127942
48,62,55,48,76.0,156,215288
63,32,48,89,84.0,164,42476
63,57,11,1,94.0,123,10784
53,92,97,57,1.0,141,230970
53,50,30,40,28.0,142,174792
64,81,94,88,75.0,179,182220
49,84,23,41,74.0,153,41551
48,62,63,59,7.0,145,165392
95,88,95,77,76.0,187,200650
36,49,39,27,81.0,147,165348
71,84,72,75,46.0,166,111369
63,42,71,56,45.0,153,4885
14,54,23,16,62.0,133,181765
49,78,67,77,93.0,171,46378
32,19,31,48,62.0,138,222696
29,20,34,19,64.0,135,18482
47,11,46,38,22.0,135,122416
30,18,24,44,49.0,133,147708
63,56,22,93,79.0,163,122175
93,52,86,48,32.0,163,114675
91,56,66,83,78.0,174,101071
4,18,26,34,37.0,124,236459
16,14,48,6,59.0,128,201064
47,57,51,15,39.0,142,113676
90,98,69,71,90.0,185,63569
99,99,100,98,80.0,209,180444
48,82,63,49,23.0,153,48040
74,42,44,64,3.0,143,96898
88,41,17,28,43.0,144,245978
33,81,29,5,66.0,143,222264
8,22,13,42,52.0,125,245721
75,86,92,81,31.0,172,28430
94,56,61,40,4.0,150,241066
3,49,67,58,13.0,134,150130
60,43,40,53,26.0,146,220628
54,32,30,54,16.0,139,12127
68,87,86,56,1.0,139,115041
5,12,14,33,5.0,111,56976
96,95,97,56,77.0,187,6827
75,47,71,53,40.0,155,157273
83,75,97,86,93.0,187,161295
7,1,1,33,1.0,79,158394
48,68,64,91,31.0,161,72321
65,36,56,58,76.0,157,208487
2,31,51,18,78.0,134,55431
58,81,52,82,52.0,162,157705
91,77,56,100,48.0,192,216271
4,3,19,9,46.0,112,34804
55,62,33,30,33.0,144,106438
36,59,42,10,83.0,146,5835
67,83,47,77,59.0,163,34548
74,100,89,63,92.0,189,183701
78,94,90,68,23.0,171,231751
76,96,94,70,99.0,190,30816
66,30,37,3,15.0,131,219655
95,95,89,77,68.0,185,101487
35,52,61,64,56.0,151,163983
40,22,19,43,54.0,135,150625
91,77,64,78,42.0,169,93107
28,74,63,51,94.0,161,39450
5,1,2,13,46.0,100,221478
6,18,45,52,44.0,131,19061
21,7,55,35,90.0,141,204167
35,50,22,100,9.0,163,164793
43,66,81,64,1.0,130,221655
25,31,40,15,7.0,125,117059
5,4,2,10,18.0,103,162723
61,43,54,26,61.0,148,225275
12,11,6,41,1.0,105,80565
89,93,87,99,81.0,193,174208
51,59,100,97,95.0,186,206452
27,29,30,55,51.0,138,58233
47,52,55,45,44.0,148,93785
98,99,95,89,55.0,192,100634
18,39,10,54,19.0,129,92500
72,93,93,99,88.0,193,46914
80,29,26,22,9.0,134,152293
35,66,60,70,62.0,156,222944
78,45,100,74,23.0,167,27861
79,69,69,40,83.0,166,99979
91,96,82,99,77.0,193,8435
89,96,95,99,96.0,201,201507
8,16,31,8,15.0,117,61496
78,100,100,89,98.0,205,118010
28,40,59,27,1.0,113,111870
41,90,91,54,91.0,172,14831
69,82,100,100,96.0,212,178435
53,38,41,51,59.0,147,42343
64,79,80,50,88.0,170,240794
93,53,96,93,76.0,184,82800
21,45,23,16,35.0,130,187082
75,73,96,72,24.0,168,128290
47,25,32,63,11.0,136,137646
27,43,18,42,60.0,137,238981
45,68,44,66,20.0,149,6990
17,52,61,32,48.0,141,95898
73,73,74,53,57.0,162,99410
75,41,53,68,68.0,160,65951
45,63,54,82,9.0,149,134494
40,60,37,32,75.0,149,193833
57,46,57,97,47.0,163,196088
11,35,18,8,40.0,123,178986
71,55,33,39,54.0,149,68564
93,93,84,87,61.0,182,240723
30,10,45,26,61.0,134,183947
90,67,51,69,84.0,171,184099
24,1,5,19,12.0,107,73428
13,61,27,42,67.0,142,153340
99,100,88,97,100.0,227,167181
69,60,93,80,8.0,160,221010
9,14,26,27,42.0,124,163319
44,88,54,62,40.0,156,141557
27,52,61,27,15.0,137,9761
53,25,52,47,60.0,146,20523
73,67,65,20,39.0,152,97737
39,60,52,59,55.0,150,9279
87,76,72,91,69.0,178,118312
7,35,42,16,36.0,128,230924
64,66,66,60,38.0,157,22321
51,73,88,88,95.0,179,141043
30,23,36,44,77.0,143,106854
81,88,100,86,58.0,183,71322
76,32,34,34,67.0,149,83412
95,99,99,96,90.0,203,183459
34,40,67,88,90.0,164,229617
55,53,65,26,78.0,154,87188
32,10,54,16,5.0,123,98702
75,56,75,56,8.0,151,116404
20,14,22,18,1.0,98,231824
21,22,4,41,26.0,122,127937
46,54,88,55,50.0,156,10431
61,51,83,49,31.0,154,96469
75,74,87,15,71.0,163,75433
79,27,79,16,64.0,152,80343
91,79,97,86,78.0,187,115399
60,71,54,45,46.0,153,31230
11,7,29,23,83.0,130,58147
11,73,91,94,1.0,135,72420
62,93,89,84,83.0,181,155317
88,51,54,23,83.0,160,74103
38,61,51,31,46.0,145,72585
39,52,72,67,69.0,158,164741
15,34,16,20,3.0,117,239946
52,88,47,13,67.0,153,117203
27,39,49,26,1.0,112,191912
29,24,24,36,76.0,139,245785
82,53,11,50,91.0,155,56340
84,42,37,22,96.0,158,42144
5,6,4,56,56.0,118,121590
71,44,42,24,83.0,153,10844
29,1,1,1,28.0,67,172083
38,90,100,97,100.0,212,231315
49,87,67,81,83.0,171,181460
50,9,2,11,65.0,122,39843
26,44,60,47,45.0,144,142847
1,1,7,4,2.0,88,146891
72,69,80,54,59.0,162,91496
9,13,40,28,16.0,122,239028
57,75,61,66,1.0,131,51572
20,10,27,48,7.0,122,73584
82,88,89,86,77.0,182,63262
85,82,73,88,95.0,183,131603
84,75,65,91,73.0,176,127480
75,53,65,51,30.0,154,121299
74,95,72,87,54.0,175,94115
37,55,60,81,43.0,154,192145
10,20,18,4,36.0,118,4730
56,26,29,39,10.0,132,43876
82,31,54,43,9.0,143,108020
31,21,15,65,95.0,146,130843
63,85,83,97,25.0,173,162535
64,66,59,73,89.0,168,228913
21,41,61,49,28.0,141,235136
8,32,19,39,79.0,135,232388
97,88,87,100,49.0,189,105903
13,2,6,30,48.0,113,184876
96,97,89,71,34.0,180,13433
67,79,82,72,26.0,164,195508
96,95,95,80,86.0,193,50817
39,19,4,61,51.0,130,7446
28,38,52,69,46.0,146,3494
88,99,100,86,88.0,198,177249
84,49,57,73,75.0,166,211623
66,94,94,70,47.0,172,100725
52,61,62,57,44.0,153,27847
76,17,30,81,93.0,161,54653
99,93,79,95,13.0,181,54023
79,74,90,91,90.0,184,146903
13,35,52,94,17.0,146,161674
